playername,teamname,position,KDA,solokill,KP,dpm,earned gpm,golddiffat15,xpdiffat15,csdiffat15,steal,FB,DPG,vspm,games_played
113,Astralis,jng,2.515151515151515,,78.30188679245283,338.13975625,184.21083124999998,-520.3125,-695.5,-19.3125,0.125,43.75,109.32854845668118,1.40445,16.0
Finn,Astralis,top,2.347826086956522,0.375,50.943396226415096,467.87456249999997,238.68428125,-408.0625,-175.1875,-16.25,,6.25,126.24071305923081,1.082925,16.0
JeongHoon,Astralis,sup,2.5396825396825395,,75.47169811320755,168.2909875,113.64115,-82.9375,-218.875,-1.0625,,43.75,68.66324252647834,3.1335375,16.0
Kobbe,Astralis,bot,4.081081081081081,,71.22641509433963,627.65438125,319.15716875,114.5,2.0,4.9375,,43.75,143.34727807373451,1.1715375000000001,16.0
LIDER,Astralis,mid,1.9696969696969697,0.1875,61.320754716981135,550.05920625,292.3937375,150.4375,71.0625,8.5625,,25.0,131.08280316502004,0.90606875,16.0
Abbedagge,Excel Esports,mid,1.5,0.0,66.66666666666667,545.678,219.20133333333334,-1305.0,-945.0,-24.0,,0.0,161.03852596314908,0.9182333333333332,3.0
LIMIT,Excel Esports,sup,2.064516129032258,,71.91011235955057,189.31647777777778,94.76378888888888,-260.1111111111111,-177.0,-2.3333333333333335,,22.22222222222222,84.54156812806985,2.7209999999999996,9.0
Odoamne,Excel Esports,top,1.8461538461538463,0.4444444444444444,53.93258426966292,429.00786666666664,222.91074444444445,-313.44444444444446,-5.0,1.4444444444444444,,0.0,124.46996124031008,1.0257777777777777,9.0
Patrik,Excel Esports,bot,2.5416666666666665,,68.53932584269663,628.5480333333334,281.1867,-903.1111111111111,-52.333333333333336,-13.222222222222221,,11.11111111111111,158.2275344242254,1.0721555555555555,9.0
Vetheo,Excel Esports,mid,2.4705882352941178,0.16666666666666666,67.74193548387096,498.98786666666666,264.8872666666667,-249.66666666666666,23.0,1.6666666666666667,,16.666666666666668,126.76175382989963,1.32125,6.0
Xerxe,Excel Esports,jng,2.2142857142857144,,69.66292134831461,306.45826666666665,151.75404444444445,-432.3333333333333,-316.22222222222223,-3.2222222222222223,0.1111111111111111,22.22222222222222,108.82729005331596,1.6859777777777778,9.0
Advienne,Fnatic,sup,4.102564102564102,,70.17543859649123,169.96642,101.83971333333334,-18.2,122.0,-2.2,,40.0,71.92459091631216,2.8235266666666665,15.0
